Feature,Top Team,Mean Value
Age,Fulham,28.91
Matches_played,Liverpool,25.19
Starts,Brentford,18.33
Minutes,Liverpool,1643.1
Goals,Liverpool,3.81
Assists,Liverpool,2.86
Yellow Cards,Bournemouth,3.87
Red Cards,Arsenal,0.23
Expected_xG,Liverpool,3.68
Expected_xAG,Liverpool,2.68
PrgC,Manchester City,41.64
PrgP,Liverpool,83.95
PrgR,Liverpool,83.05
Per90_Gls,Manchester City,0.18
Per90_Ast,Liverpool,0.14
Per90_xG90,Aston Villa,0.19
Per90_xAG,Chelsea,0.15
GA90,Manchester Utd,2.65
Save%,Bournemouth,80.0
CS%,Aston Villa,58.8
PK_Save%,Everton,100.0
SoT%,Nott'ham Forest,39.04
SoT/90,Bournemouth,0.54
G/sh,Arsenal,0.14
Dist,Nott'ham Forest,19.12
Cmp,Liverpool,807.14
Total_Cmp%,Manchester City,86.5
TotDist,Liverpool,13712.95
Short_Cmp%,Manchester City,92.13
Medium_Cmp%,Manchester City,89.52
Long_Cmp%,Liverpool,60.28
KP,Liverpool,22.43
Expected_1/3,Liverpool,69.57
PPA,Liverpool,19.05
CrsPA,Fulham,4.5
Expected_PrgP,Liverpool,83.95
SCA,Liverpool,50.81
SCA90,Liverpool,2.62
GCA,Liverpool,6.52
GCA90,Liverpool,0.33
Tkl,Crystal Palace,33.14
TklW,Crystal Palace,19.62
Challenges_Att,Liverpool,28.95
Challenges_Lost,Crystal Palace,14.14
Blocks,Brentford,21.19
Sh,Brentford,8.71
Pass,Crystal Palace,14.9
Int,Bournemouth,14.39
Touches,Liverpool,1139.43
Def Pen,Brentford,145.57
Def 3rd,Brentford,366.48
Mid 3rd,Liverpool,513.48
Att 3rd,Manchester City,353.4
Att Pen,Liverpool,57.38
Take-Ons_Att,Arsenal,30.59
Succ%,Liverpool,54.8
Tkld%,Leicester City,48.3
Carries,Manchester City,664.68
ProDist,Manchester City,2051.96
Carries_PrgC,Manchester City,41.64
1/3,Manchester City,31.16
CPA,Manchester City,14.48
Mis,Nott'ham Forest,23.68
Dis,Newcastle Utd,17.96
Rec,Liverpool,798.24
Receiving_PrgR,Liverpool,83.05
Fls,Bournemouth,20.52
Fld,Newcastle Utd,18.22
Off,Nott'ham Forest,3.77
Crs,Fulham,37.91
Recov,Bournemouth,73.22
Won,Brentford,27.52
Lost,Crystal Palace,28.19
Won%,Brentford,54.89

Team,Num Features highest score
Liverpool,27
Manchester City,11
Brentford,7
Bournemouth,6
Crystal Palace,5
Nott'ham Forest,4
Arsenal,3
Fulham,3
Aston Villa,2
Newcastle Utd,2
Everton,1
Manchester Utd,1
Chelsea,1
Leicester City,1
